,city,country,lat,lng,humidity,temp,max_temp,clouds,wind
97,saint-augustin,CA,51.226,-58.6502,89,18.09,18.09,99,13.89
98,kahului,US,20.8947,-156.47,61,75.25,78.8,20,13.8
99,port alfred,ZA,-33.5906,26.891,91,66.99,66.99,26,1.01
101,boueni,YT,-12.9025,45.0761,78,82.4,82.4,0,5.75
102,bathsheba,BB,13.2167,-59.5167,69,78.8,78.8,20,20.71
103,kenai,US,60.5544,-151.2583,62,12.85,14,90,6.64
104,puerto montt,CL,-41.4698,-72.9447,63,64.4,64.4,0,12.66
105,san rafael,AR,-34.6177,-68.3301,37,69.58,69.58,7,4.85
106,chicama,PE,-7.8447,-79.1469,78,71.6,71.6,0,10.36
107,sisimiut,GL,66.9395,-53.6735,81,-5.3,-5.3,0,11.92
108,iqaluit,CA,63.7506,-68.5145,69,-18.4,-18.4,90,3.44
109,arraial do cabo,BR,-22.9661,-42.0278,78,77.76,78.8,0,12.66
110,albany,US,42.6001,-73.9662,87,26.01,26.01,100,1.01
111,kruisfontein,ZA,-34.0033,24.7314,62,69.4,69.4,0,6.49
112,jasper,US,37.2001,-94.3502,40,47.39,50,1,4.61
113,herat,AF,34.5,62,77,38.14,38.14,0,11.52
114,aksu,CN,41.1231,80.2644,77,23.45,23.45,0,3.78
115,rio gallegos,AR,-51.6226,-69.2181,40,73.4,73.4,40,29.93
117,lorengau,PG,-2.0226,147.2712,74,84.15,84.15,79,10.25
118,loviisa,FI,60.4566,26.2251,96,25,25,100,11.01
119,kristiansund,NO,63.1115,7.732,79,21.2,21.2,18,4.61
120,bluff,NZ,-46.6,168.3333,87,59.67,59.67,85,13.02
121,banjar,ID,-8.19,114.9675,83,80.6,80.6,40,11.5
122,pacifica,US,37.6138,-122.4869,82,54.77,57.99,1,8.05
123,krasne,UA,49.9145,24.6134,87,35.31,35.6,90,8.95
125,beaufort,MY,5.3473,115.7455,89,78.4,78.8,20,5.75
126,trincomalee,LK,8.5711,81.2335,76,78.39,78.39,99,17.13
128,uni,RU,57.7535,51.4923,95,4.55,4.55,87,7.4
129,la rioja,ES,42.25,-2.5,93,42.8,42.8,0,2.3
